| 法术名
 | 牧
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 支配野兽Dominate Beast
 | 四环
 | 惑控
 | 德 软 术
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 支配怪物Dominate Monster
 | 八环
 | 惑控
 | 诗 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 支配类人Dominate Person
 | 五环
 | 惑控
 | 诗 术 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 龙息术Dragon's Breath
 | 二环
 | 变化
 | 术 法
 | V
 | S
 | M
 | ×
 | √
 | XGE
 | 卓姆吉瞬间召唤Drawmij's Instant
					Summons
 | 六环
 | 咒法
 | 法
 | V
 | S
 | M*
 | √
 | ×
 | PHB14
 | 托梦术Dream
 | 五环
 | 幻术
 | 诗 法 锁
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 德鲁伊伎俩Druidcraft
 | 戏法(零环)
 | 变化
 | 德
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 地震术Earthquake
 | 八环
 | 塑能
 | 牧 德 术
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 魔能爆Eldritch Blast
 | 戏法(零环)
 | 塑能
 | 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 元素武器Elemental Weapon
 | 三环
 | 变化
 | 德 帕 软 械
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 强化属性Enhance Ability
 | 二环
 | 变化
 | 诗 牧 德 软 术 法 械
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 变巨术/缩小术Enlarge / Reduce
 | 二环
 | 变化
 | 诗 德 术 法 械
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 捕获打击Ensnaring Strike
 | 一环
 | 咒法
 | 软
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 纠缠术Entangle
 | 一环
 | 咒法
 | 德 软
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 注目术Enthrall
 | 二环
 | 惑控
 | 诗 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 以太化Etherealness
 | 七环
 | 变化
 | 诗 牧 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 艾伐黑触手Evard's Black
					Tentacles
 | 四环
 | 咒法
 | 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 脚底抹油Expeditious Retreat
 | 一环
 | 变化
 | 术 法 械 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 摄心目光Eyebite
 | 六环
 | 死灵
 | 诗 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 鬼斧神工Fabricate
 | 四环
 | 变化
 | 法 械
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 妖火Faerie Fire
 | 一环
 | 塑能
 | 诗 德 械
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 虚假生命False Life
 | 一环
 | 死灵
 | 术 法 械
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 恐惧术Fear
 | 三环
 | 幻术
 | 诗 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 羽落术Feather Fall
 | 一环
 | 变化
 | 诗 术 法 械
 | V
 | ×
 | M
 | ×
 | ×
 | PHB14
 | 弱智术Feeblemind
 | 八环
 | 惑控
 | 诗 德 法 锁
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 假死术Feign Death
 | 三环
 | 死灵
 | 诗 牧 德 法
 | V
 | S
 | M
 | √
 | ×
 | PHB14
 | 寻获魔宠Find Familiar
 | 一环
 | 咒法
 | 法
 | V
 | S
 | M*
 | √
 | ×
 | PHB14
 | 寻获坐骑Find Steed
 | 二环
 | 咒法
 | 帕
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 寻找陷阱Find Traps
 | 二环
 | 预言
 | 牧 德 软
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 寻路术Find the Path
 | 六环
 | 预言
 | 诗 牧 德
 | V
 | S
 | M*
 | ×
 | √
 | PHB14
 | 死亡一指Finger of Death
 | 七环
 | 死灵
 | 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 火焰箭Fire Bolt
 | 戏法(零环)
 | 塑能
 | 术 法 械
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 火焰护盾Fire Shield
 | 四环
 | 塑能
 | 德 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 火焰风暴Fire Storm
 | 七环
 | 塑能
 | 牧 德 术
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 火球术Fireball
 | 三环
 | 塑能
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 火焰刀Flame Blade
 | 二环
 | 塑能
 | 德 术
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 焰击术Flame Strike
 | 五环
 | 塑能
 | 牧
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 炽焰法球Flaming Sphere
 | 二环
 | 咒法
 | 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 石化术Flesh to Stone
 | 六环
 | 变化
 | 德 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 飞行术Fly
 | 三环
 | 变化
 | 术 法 械 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 云雾术Fog Cloud
 | 一环
 | 咒法
 | 德 软 术 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 禁制术Forbiddance
 | 六环
 | 防护
 | 牧
 | V
 | S
 | M*
 | √
 | ×
 | PHB14
 | 力场监牢Forcecage
 | 七环
 | 塑能
 | 诗 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 预见术Foresight
 | 九环
 | 预言
 | 诗 德 法 锁
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 行动自如Freedom of Movement
 | 四环
 | 防护
 | 诗 牧 德 软 械
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 交友术Friends
 | 戏法(零环)
 | 惑控
 | 诗 术 法 锁
 | ×
 | S
 | M
 | ×
 | √
 | PHB14
 | 气化形体Gaseous Form
 | 三环
 | 变化
 | 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 异界之门Gate
 | 九环
 | 咒法
 | 牧 术 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | PHB14
 | 指使术Geas
 | 五环
 | 惑控
 | 诗 牧 德 帕 法
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 遗体防腐Gentle Repose
 | 二环
 | 死灵
 | 牧 帕 法
 | V
 | S
 | M
 | √
 | ×
 | PHB14
 | 巨虫术Giant Insect
 | 四环
 | 变化
 | 德
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 花言巧语Glibness
 | 八环
 | 变化
 | 诗 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 法术无效结界Globe of
					Invulnerability
 | 六环
 | 防护
 | 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 守卫刻文Glyph of Warding
 | 三环
 | 防护
 | 诗 牧 法 械
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 神莓术Goodberry
 | 一环
 | 变化
 | 德 软
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 擒抱藤Grasping Vine
 | 四环
 | 咒法
 | 德 软
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 油腻术Grease
 | 一环
 | 咒法
 | 术 法 械
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 高等隐形术Greater Invisibility
 | 四环
 | 幻术
 | 诗 术 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 高等复原术Greater Restoration
 | 五环
 | 防护
 | 诗 牧 德 软 械
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 信仰守卫Guardian of Faith
 | 四环
 | 咒法
 | 牧
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 铜墙铁壁Guards and Wards
 | 六环
 | 防护
 | 诗 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 神导术Guidance
 | 戏法(零环)
 | 预言
 | 牧 德 械
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 光导箭Guiding Bolt
 | 一环
 | 塑能
 | 牧
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 造风术Gust of Wind
 | 二环
 | 塑能
 | 德 软 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 棘雹术Hail of Thorns
 | 一环
 | 咒法
 | 软
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 圣居Hallow
 | 五环
 | 塑能
 | 牧
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 幻景Hallucinatory Terrain
 | 四环
 | 幻术
 | 诗 德 法 锁
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 重伤术Harm
 | 六环
 | 死灵
 | 牧
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 加速术Haste
 | 三环
 | 变化
 | 术 法 械
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 医疗术Heal
 | 六环
 | 塑能
 | 牧 德
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 治愈真言Healing Word
 | 一环
 | 塑能
 | 诗 牧 德
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 灼热金属Heat Metal
 | 二环
 | 变化
 | 诗 德 械
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 炼狱叱喝Hellish Rebuke
 | 一环
 | 塑能
 | 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 英雄宴Heroes' Feast
 | 六环
 | 咒法
 | 诗 牧 德
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 英雄气概Heroism
 | 一环
 | 惑控
 | 诗 帕
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 脆弱诅咒Hex
 | 一环
 | 惑控
 | 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 定身怪物Hold Monster
 | 五环
 | 惑控
 | 诗 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 定身类人Hold Person
 | 二环
 | 惑控
 | 诗 牧 德 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 圣洁灵光Holy Aura
 | 八环
 | 防护
 | 牧
 | V
 | S
 | M*
 | ×
 | √
 | PHB14
 | 哈达之欲Hunger of Hadar
 | 三环
 | 咒法
 | 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 猎人印记Hunter's Mark
 | 一环
 | 预言
 | 软
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 催眠图纹Hypnotic Pattern
 | 三环
 | 幻术
 | 诗 术 法 锁
 | ×
 | S
 | M
 | ×
 | √
 | PHB14
 | 冰刃Ice Knife
 | 一环
 | 咒法
 | 德 术 法
 | ×
 | S
 | M
 | ×
 | ×
 | XGE
 | 冰风暴Ice Storm
 | 四环
 | 塑能
 | 德 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 鉴定术Identify
 | 一环
 | 预言
 | 诗 法 械
 | V
 | S
 | M*
 | √
 | ×
 | PHB14
 | 迷幻手稿Illusory Script
 | 一环
 | 幻术
 | 诗 法 锁
 | ×
 | S
 | M*
 | √
 | ×
 | PHB14
 | 禁锢术Imprisonment
 | 九环
 | 防护
 | 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 焚云术Incendiary Cloud
 | 八环
 | 咒法
 | 德 术 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 致伤术Inflict Wounds
 | 一环
 | 死灵
 | 牧
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 疫病虫群Insect Plague
 | 五环
 | 咒法
 | 牧 德 术
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 隐形术Invisibility
 | 二环
 | 幻术
 | 诗 术 法 械 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 跳跃术Jump
 | 一环
 | 变化
 | 德 软 术 法 械
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 敲击术Knock
 | 二环
 | 变化
 | 诗 术 法
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 通晓传奇Legend Lore
 | 五环
 | 预言
 | 诗 牧 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 李欧蒙秘藏箱Leomund's Secret
					Chest
 | 四环
 | 咒法
 | 法 械
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 李欧蒙小屋Leomund's Tiny Hut
 | 三环
 | 塑能
 | 诗 法
 | V
 | S
 | M
 | √
 | ×
 | PHB14
 | 次等复原术Lesser Restoration
 | 二环
 | 防护
 | 诗 牧 德 帕 软 械
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 浮空术Levitate
 | 二环
 | 变化
 | 术 法 械
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 光亮术Light
 | 戏法(零环)
 | 塑能
 | 诗 牧 术 法 械
 | V
 | ×
 | M
 | ×
 | ×
 | PHB14
 | 闪电箭矢Lightning Arrow
 | 三环
 | 变化
 | 软
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 闪电束Lightning Bolt
 | 三环
 | 塑能
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 动植物定位术Locate Animals or
					Plants
 | 二环
 | 预言
 | 诗 德 软
 | V
 | S
 | M
 | √
 | ×
 | PHB14
 | 生物定位术Locate Creature
 | 四环
 | 预言
 | 诗 牧 德 帕 软 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 物件定位术Locate Object
 | 二环
 | 预言
 | 诗 牧 德 帕 软 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 大步奔行Longstrider
 | 一环
 | 变化
 | 诗 德 软 法 械
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 法师护甲Mage Armor
 | 一环
 | 防护
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 法师之手Mage Hand
 | 戏法(零环)
 | 咒法
 | 诗 术 法 械 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 防护法阵Magic Circle
 | 三环
 | 防护
 | 牧 帕 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 魔魂壶Magic Jar
 | 六环
 | 死灵
 | 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 魔法飞弹Magic Missile
 | 一环
 | 塑能
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 魔嘴术Magic Mouth
 | 二环
 | 幻术
 | 诗 法 械
 | V
 | S
 | M*
 | √
 | ×
 | PHB14
 | 魔化武器Magic Weapon
 | 二环
 | 变化
 | 帕 软 术 法 械
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 高级幻影Major Image
 | 三环
 | 幻术
 | 诗 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 群体疗伤术Mass Cure Wounds
 | 五环
 | 塑能
 | 诗 牧 德
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 群体医疗术Mass Heal
 | 九环
 | 塑能
 | 牧
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 群体治愈真言Mass Healing Word
 | 三环
 | 塑能
 | 诗 牧
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 群体暗示术Mass Suggestion
 | 六环
 | 惑控
 | 诗 术 法 锁
 | V
 | ×
 | M
 | ×
 | ×
 | PHB14
 | 迷宫术Maze
 | 八环
 | 咒法
 | 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 融身入石Meld Into Stone
 | 三环
 | 变化
 | 牧 德 软
 | V
 | S
 | ×
 | √
 | ×
 | PHB14
 | 马友夫强酸箭Melf's Acid Arrow
 | 二环
 | 塑能
 | 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 修复术Mending
 | 戏法(零环)
 | 变化
 | 诗 牧 德 术 法 械
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 传讯术Message
 | 戏法(零环)
 | 变化
 | 诗 术 法 械
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 流星爆Meteor Swarm
 | 九环
 | 塑能
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 心灵屏障Mind Blank
 | 八环
 | 防护
 | 诗 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 心灵之楔Mind Sliver
 | 戏法(零环)
 | 惑控
 | 术 法 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | TCE
 | 心灵尖刺Mind Spike
 | 二环
 | 预言
 | 术 法 锁
 | ×
 | S
 | ×
 | ×
 | √
 | XGE
 | 次级幻象Minor Illusion
 | 戏法(零环)
 | 幻术
 | 诗 术 法 锁
 | ×
 | S
 | M
 | ×
 | ×
 | PHB14
 | 海市蜃楼Mirage Arcane
 | 七环
 | 幻术
 | 诗 德 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 镜影术Mirror Image
 | 二环
 | 幻术
 | 诗 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 假象术Mislead
 | 五环
 | 幻术
 | 诗 法 锁
 | ×
 | S
 | ×
 | ×
 | √
 | PHB14
 | 迷踪步Misty Step
 | 二环
 | 咒法
 | 术 法 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 篡改记忆Modify Memory
 | 五环
 | 惑控
 | 诗 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 月华之光Moonbeam
 | 二环
 | 塑能
 | 德
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 魔邓肯忠犬Mordenkainen's
					Faithful
					Hound
 | 四环
 | 咒法
 | 法 械
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 魔邓肯豪宅术Mordenkainen's
					Magnificent Mansion
 | 七环
 | 咒法
 | 诗 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 魔邓肯私人密室Mordenkainen's
					Private Sanctum
 | 四环
 | 防护
 | 法 械
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 魔邓肯之剑Mordenkainen's Sword
 | 七环
 | 塑能
 | 诗 法
 | V
 | S
 | M*
 | ×
 | √
 | PHB14
 | 地动术Move Earth
 | 六环
 | 变化
 | 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 回避侦测Nondetection
 | 三环
 | 防护
 | 诗 软 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 涅斯图魔法灵光Nystul's Magic Aura
 | 二环
 | 幻术
 | 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 欧提路克冰封法球Otiluke's Freezing
					Sphere
 | 六环
 | 塑能
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 欧提路克弹力法球Otiluke's
					Resilient
					Sphere
 | 四环
 | 塑能
 | 法 械
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 奥图迷舞Otto's Irresistible
					Dance
 | 六环
 | 惑控
 | 诗 法
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 行动无踪Pass without Trace
 | 二环
 | 防护
 | 德 软
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 穿墙术Passwall
 | 五环
 | 变化
 | 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 魅影之力Phantasmal Force
 | 二环
 | 幻术
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 魅影杀手Phantasmal Killer
 | 四环
 | 幻术
 | 诗 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 魅影驹Phantom Steed
 | 三环
 | 幻术
 | 法
 | V
 | S
 | ×
 | √
 | ×
 | PHB14
 | 异界誓盟Planar Ally
 | 六环
 | 咒法
 | 牧 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 异界誓缚Planar Binding
 | 五环
 | 防护
 | 诗 牧 德 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 位面转移Plane Shift
 | 七环
 | 咒法
 | 牧 德 术 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 植物滋长Plant Growth
 | 三环
 | 变化
 | 诗 德 软
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 毒气喷涌Poison Spray
 | 戏法(零环)
 | 咒法
 | 德 术 法 械 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 变形术Polymorph
 | 四环
 | 变化
 | 诗 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 律令医疗Power Word Heal
 | 九环
 | 塑能
 | 诗 牧
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 律令死亡Power Word Kill
 | 九环
 | 惑控
 | 诗 术 法 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 律令震慑Power Word Stun
 | 八环
 | 惑控
 | 诗 术 法 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 治疗祷言Prayer of Healing
 | 二环
 | 塑能
 | 牧 帕
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 魔法伎俩Prestidigitation
 | 戏法(零环)
 | 变化
 | 诗 术 法 械 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 虹光喷射Prismatic Spray
 | 七环
 | 塑能
 | 诗 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 虹光法墙Prismatic Wall
 | 九环
 | 防护
 | 诗 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 燃火术Produce Flame
 | 戏法(零环)
 | 咒法
 | 德
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 预置幻象Programmed Illusion
 | 六环
 | 幻术
 | 诗 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 投影术Project Image
 | 七环
 | 幻术
 | 诗 法
 | V
 | S
 | M*
 | ×
 | √
 | PHB14
 | 防护能量Protection from
					Energy
 | 三环
 | 防护
 | 牧 德 软 术 法 械
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 防护善恶Protection from
					Evil and
					Good
 | 一环
 | 防护
 | 牧 德 帕 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | PHB14
 | 防护毒素Protection from
					Poison
 | 二环
 | 防护
 | 牧 德 帕 软 械
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 净化饮食Purify Food and Drink
 | 一环
 | 变化
 | 牧 德 帕 械
 | V
 | S
 | ×
 | √
 | ×
 | PHB14
 | 死者复活Raise Dead
 | 五环
 | 死灵
 | 诗 牧 帕
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 拉瑞心灵联结Rary's Telepathic
					Bond
 | 五环
 | 预言
 | 诗 法
 | V
 | S
 | M
 | √
 | ×
 | PHB14
 | 衰弱射线Ray of Enfeeblement
 | 二环
 | 死灵
 | 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 冷冻射线Ray of Frost
 | 戏法(零环)
 | 塑能
 | 术 法 械
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 致病射线Ray of Sickness
 | 一环
 | 死灵
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 再生术Regenerate
 | 七环
 | 变化
 | 诗 牧 德
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 转生术Reincarnate
 | 五环
 | 变化
 | 德
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 移除诅咒Remove Curse
 | 三环
 | 防护
 | 牧 帕 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 抵抗术Resistance
 | 戏法(零环)
 | 防护
 | 牧 德 械
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 复生术Resurrection
 | 七环
 | 死灵
 | 诗 牧
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 反转重力Reverse Gravity
 | 七环
 | 变化
 | 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 回生术Revivify
 | 三环
 | 死灵
 | 牧 德 帕 软 械
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 魔绳术Rope Trick
 | 二环
 | 变化
 | 法 械
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 圣火术Sacred Flame
 | 戏法(零环)
 | 塑能
 | 牧
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 庇护术Sanctuary
 | 一环
 | 防护
 | 牧 械
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 灼热射线Scorching Ray
 | 二环
 | 塑能
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 探知术Scrying
 | 五环
 | 预言
 | 诗 牧 德 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | PHB14
 | 炽焰斩Searing Smite
 | 一环
 | 塑能
 | 帕 软
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 识破隐形See Invisibility
 | 二环
 | 预言
 | 诗 术 法 械
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 伪装术Seeming
 | 五环
 | 幻术
 | 诗 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 短讯术Sending
 | 三环
 | 塑能
 | 诗 牧 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 隔离术Sequester
 | 七环
 | 变化
 | 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 形体变化Shapechange
 | 九环
 | 变化
 | 德 法
 | V
 | S
 | M*
 | ×
 | √
 | PHB14
 | 粉碎音波Shatter
 | 二环
 | 塑能
 | 诗 术 法 锁
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 护盾术Shield
 | 一环
 | 防护
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 虔诚护盾Shield of Faith
 | 一环
 | 防护
 | 牧 帕
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 橡棍术Shillelagh
 | 戏法(零环)
 | 变化
 | 德
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 电爪Shocking Grasp
 | 戏法(零环)
 | 塑能
 | 术 法 械
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 沉默术Silence
 | 二环
 | 幻术
 | 诗 牧 软
 | V
 | S
 | ×
 | √
 | √
 | PHB14
 | 无声幻影Silent Image
 | 一环
 | 幻术
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 拟像术Simulacrum
 | 七环
 | 幻术
 | 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 睡眠术Sleep
 | 一环
 | 惑控
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 雪雨暴Sleet Storm
 | 三环
 | 咒法
 | 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 缓慢术Slow
 | 三环
 | 变化
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 维生术Spare the Dying
 | 戏法(零环)
 | 死灵
 | 牧 械
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 动物交谈Speak with Animals
 | 一环
 | 预言
 | 诗 德 软
 | V
 | S
 | ×
 | √
 | ×
 | PHB14
 | 死者交谈Speak with Dead
 | 三环
 | 死灵
 | 诗 牧 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
